league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ITA-Serie B,2425,Modena,Giovanni Zaro,ITA,DF,30.0,1994.0,35,30,2746,30.5,1,2,3,1,0,0,9,0,0.03,0.07,0.1,0.03,0.1
ITA-Serie B,2425,Modena,Giuseppe Caso,ITA,"MF,FW",25.0,1998.0,30,24,1829,20.3,5,3,8,5,0,0,2,0,0.25,0.15,0.39,0.25,0.39
ITA-Serie B,2425,Modena,Grégoire Defrel,MTQ,FW,33.0,1991.0,26,13,1182,13.1,3,4,7,3,0,0,2,1,0.23,0.3,0.53,0.23,0.53
ITA-Serie B,2425,Modena,Issiaka Kamate,FRA,MF,19.0,2004.0,10,2,279,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Modena,Jacopo Sassi,ITA,GK,21.0,2003.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Modena,Kleis Bozhanaj,ALB,MF,23.0,2001.0,27,9,934,10.4,2,2,4,2,0,0,1,0,0.19,0.19,0.39,0.19,0.39
ITA-Serie B,2425,Modena,Luca Magnino,ITA,"MF,DF",26.0,1997.0,29,19,1826,20.3,1,0,1,1,0,0,6,0,0.05,0.0,0.05,0.05,0.05
ITA-Serie B,2425,Modena,Marco Oliva,ITA,MF,19.0,2005.0,1,0,6,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Modena,Matteo Cotali,ITA,"MF,DF",27.0,1997.0,30,24,1923,21.4,1,0,1,1,0,0,6,1,0.05,0.0,0.05,0.05,0.05
ITA-Serie B,2425,Modena,Mattia Caldara,ITA,DF,30.0,1994.0,26,22,1844,20.5,1,0,1,1,0,0,4,1,0.05,0.0,0.05,0.05,0.05
ITA-Serie B,2425,Modena,Pedro Mendes,POR,"FW,MF",24.0,1999.0,26,17,1472,16.4,5,0,5,5,0,0,0,1,0.31,0.0,0.31,0.31,0.31
ITA-Serie B,2425,Modena,Riccardo Gagno,ITA,GK,27.0,1997.0,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Modena,Riyad Idrissi,ITA,"DF,MF",19.0,2005.0,28,13,1288,14.3,1,0,1,1,0,0,4,0,0.07,0.0,0.07,0.07,0.07
ITA-Serie B,2425,Modena,Simone Santoro,ITA,MF,24.0,1999.0,34,33,2765,30.7,4,0,4,4,0,0,11,0,0.13,0.0,0.13,0.13,0.13
