league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ITA-Serie B,2425,Palermo,Alessio Buttaro,ITA,DF,21.0,2002.0,4,0,35,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Palermo,Alexis Blin,FRA,"MF,DF",27.0,1996.0,17,17,1372,15.2,0,2,2,0,0,0,5,0,0.0,0.13,0.13,0.0,0.13
ITA-Serie B,2425,Palermo,Alfred Gomis,SEN,GK,30.0,1993.0,1,1,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Palermo,Aljosa Vasic,SRB,MF,22.0,2002.0,24,2,559,6.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Palermo,Claudio Gomes,FRA,MF,24.0,2000.0,32,27,2366,26.3,2,1,3,2,0,0,4,0,0.08,0.04,0.11,0.08,0.11
ITA-Serie B,2425,Palermo,Dario Šarić,BIH,MF,27.0,1997.0,8,1,209,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Palermo,Dimitris Nikolaou,GRE,DF,25.0,1998.0,29,27,2394,26.6,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04
ITA-Serie B,2425,Palermo,Emil Audero,IDN,GK,27.0,1997.0,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Palermo,Federico Di Francesco,ITA,"MF,FW",30.0,1994.0,28,17,1444,16.0,1,6,7,1,0,0,3,0,0.06,0.37,0.44,0.06,0.44
ITA-Serie B,2425,Palermo,Filippo Ranocchia,ITA,MF,23.0,2001.0,35,26,2330,25.9,1,8,9,1,0,0,2,0,0.04,0.31,0.35,0.04,0.35
ITA-Serie B,2425,Palermo,Francesco Di Mariano,ITA,MF,28.0,1996.0,20,11,990,11.0,1,0,1,1,0,0,2,0,0.09,0.0,0.09,0.09,0.09
ITA-Serie B,2425,Palermo,Giangiacomo Magnani,ITA,DF,28.0,1995.0,13,13,1152,12.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Palermo,Ionuț Nedelcearu,ROU,DF,28.0,1996.0,9,7,631,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Palermo,Jacopo Segre,ITA,MF,27.0,1997.0,34,25,2247,25.0,3,2,5,3,0,0,5,0,0.12,0.08,0.2,0.12,0.2
ITA-Serie B,2425,Palermo,Joel Pohjanpalo,FIN,FW,29.0,1994.0,14,14,1203,13.4,9,3,12,7,2,3,0,0,0.67,0.22,0.9,0.52,0.75
ITA-Serie B,2425,Palermo,Jérémy Le Douaron,FRA,"FW,MF",26.0,1998.0,33,14,1423,15.8,6,1,7,6,0,0,2,0,0.38,0.06,0.44,0.38,0.44
ITA-Serie B,2425,Palermo,Kristoffer Lund,USA,"MF,DF",22.0,2002.0,33,22,2004,22.3,1,0,1,1,0,0,4,0,0.04,0.0,0.04,0.04,0.04
ITA-Serie B,2425,Palermo,Matteo Brunori,ITA,"MF,FW",29.0,1994.0,33,21,1993,22.1,9,2,11,6,3,3,8,0,0.41,0.09,0.5,0.27,0.36
ITA-Serie B,2425,Palermo,Niccolò Pierozzi,ITA,"MF,DF",22.0,2001.0,25,18,1569,17.4,2,0,2,2,0,0,7,0,0.11,0.0,0.11,0.11,0.11
ITA-Serie B,2425,Palermo,Patryk Peda,POL,DF,22.0,2002.0,1,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Palermo,Pietro Ceccaroni,ITA,DF,28.0,1995.0,29,27,2315,25.7,2,1,3,2,0,0,6,1,0.08,0.04,0.12,0.08,0.12
ITA-Serie B,2425,Palermo,Rayyan Baniya,,DF,25.0,1999.0,29,26,2332,25.9,2,0,2,2,0,0,3,0,0.08,0.0,0.08,0.08,0.08
ITA-Serie B,2425,Palermo,Roberto Insigne,ITA,"MF,FW",30.0,1994.0,25,15,1257,14.0,4,1,5,4,0,0,2,0,0.29,0.07,0.36,0.29,0.36
ITA-Serie B,2425,Palermo,Salim Diakité,MLI,"DF,MF",24.0,2000.0,31,22,2060,22.9,1,1,2,1,0,0,8,0,0.04,0.04,0.09,0.04,0.09
ITA-Serie B,2425,Palermo,Salvatore Sirigu,ITA,GK,37.0,1987.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Palermo,Sebastiano Desplanches,ITA,GK,21.0,2003.0,21,20,1854,20.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Palermo,Stredair Appuah,FRA,FW,20.0,2004.0,4,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Palermo,Thomas Henry,FRA,FW,29.0,1994.0,24,11,913,10.1,2,1,3,2,0,1,3,0,0.2,0.1,0.3,0.2,0.3
ITA-Serie B,2425,Palermo,Valerio Verre,ITA,"MF,FW",30.0,1994.0,28,17,1289,14.3,2,4,6,2,0,0,5,0,0.14,0.28,0.42,0.14,0.42
ITA-Serie B,2425,Pisa,Adrian Rus,ROU,DF,28.0,1996.0,25,14,1239,13.8,2,0,2,1,1,1,8,0,0.15,0.0,0.15,0.07,0.07
ITA-Serie B,2425,Pisa,Adrian Šemper,CRO,GK,26.0,1998.0,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Alessandro Arena,ITA,MF,23.0,2000.0,21,8,749,8.3,2,1,3,1,1,1,0,0,0.24,0.12,0.36,0.12,0.24
ITA-Serie B,2425,Pisa,Alessio Castellini,ITA,DF,21.0,2003.0,3,1,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Alexander Lind,DEN,FW,22.0,2002.0,32,25,2164,24.0,8,3,11,8,0,0,3,0,0.33,0.12,0.46,0.33,0.46
ITA-Serie B,2425,Pisa,Antonio Caracciolo,ITA,DF,34.0,1990.0,35,34,3028,33.6,2,0,2,2,0,0,7,0,0.06,0.0,0.06,0.06,0.06
ITA-Serie B,2425,Pisa,Arturo Calabresi,ITA,"DF,MF",28.0,1996.0,28,10,1090,12.1,0,1,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08
ITA-Serie B,2425,Pisa,Christian Sussi,ITA,MF,23.0,2001.0,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Emanuel Vignato,ITA,MF,23.0,2000.0,11,5,458,5.1,0,1,1,0,0,0,1,1,0.0,0.2,0.2,0.0,0.2
ITA-Serie B,2425,Pisa,Gabriele Piccinini,ITA,MF,23.0,2001.0,38,25,2324,25.8,4,4,8,4,0,0,2,0,0.15,0.15,0.31,0.15,0.31
ITA-Serie B,2425,Pisa,Giovanni Bonfanti,ITA,DF,21.0,2003.0,22,21,1710,19.0,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05
ITA-Serie B,2425,Pisa,Henrik Meister,DEN,"FW,MF",20.0,2003.0,15,7,540,6.0,2,0,2,2,0,0,5,0,0.33,0.0,0.33,0.33,0.33
ITA-Serie B,2425,Pisa,Idrissa Touré,GER,MF,26.0,1998.0,33,31,2427,27.0,6,4,10,6,0,0,7,1,0.22,0.15,0.37,0.22,0.37
ITA-Serie B,2425,Pisa,Jan Mlakar,SVN,MF,25.0,1998.0,12,1,243,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Leonardo Loria,ITA,GK,25.0,1999.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Leonardo Sernicola,ITA,MF,27.0,1997.0,13,5,585,6.5,1,0,1,1,0,0,1,0,0.15,0.0,0.15,0.15,0.15
ITA-Serie B,2425,Pisa,Lorenzo Tosi,ITA,FW,16.0,2008.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Louis Buffon,CZE,FW,16.0,2007.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Malthe Hojholt,DEN,MF,23.0,2001.0,30,11,1278,14.2,0,1,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07
ITA-Serie B,2425,Pisa,Marius Marin,ROU,MF,25.0,1998.0,34,31,2641,29.3,1,2,3,1,0,1,9,1,0.03,0.07,0.1,0.03,0.1
ITA-Serie B,2425,Pisa,Markus Solbakken,NOR,MF,24.0,2000.0,7,4,340,3.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Mattéo Tramoni,FRA,"MF,FW",24.0,2000.0,26,23,1945,21.6,13,3,16,12,1,1,0,0,0.6,0.14,0.74,0.56,0.69
ITA-Serie B,2425,Pisa,Mehdi Léris,ALG,MF,26.0,1998.0,3,2,168,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Nicholas Bonfanti,ITA,FW,22.0,2002.0,14,8,706,7.8,4,0,4,3,1,1,2,0,0.51,0.0,0.51,0.38,0.38
ITA-Serie B,2425,Pisa,Nícolas Andrade,BRA,GK,36.0,1988.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Olimpiu Moruțan,ROU,MF,25.0,1999.0,10,4,450,5.0,1,1,2,1,0,0,1,0,0.2,0.2,0.4,0.2,0.4
ITA-Serie B,2425,Pisa,Oliver Abildgaard,DEN,MF,28.0,1996.0,24,7,776,8.6,0,1,1,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12
ITA-Serie B,2425,Pisa,Pietro Beruatto,ITA,"MF,DF",25.0,1998.0,16,10,764,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Samuele Angori,ITA,MF,20.0,2003.0,37,25,2357,26.2,2,2,4,2,0,0,4,0,0.08,0.08,0.15,0.08,0.15
ITA-Serie B,2425,Pisa,Simone Canestrelli,ITA,DF,23.0,2000.0,36,35,3086,34.3,3,2,5,3,0,0,6,0,0.09,0.06,0.15,0.09,0.15
ITA-Serie B,2425,Pisa,Stefano Moreo,ITA,"MF,FW",31.0,1993.0,35,31,2677,29.7,7,6,13,7,0,0,2,0,0.24,0.2,0.44,0.24,0.44
ITA-Serie B,2425,Pisa,Tommaso Ferrari,ITA,FW,17.0,2006.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Pisa,Žan Jevšenak,SVN,MF,21.0,2003.0,2,1,73,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Alessandro Fontanarosa,ITA,"DF,MF",21.0,2003.0,10,9,749,8.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Alessandro Sersanti,ITA,MF,22.0,2002.0,37,33,2866,31.8,4,0,4,4,0,0,5,0,0.13,0.0,0.13,0.13,0.13
ITA-Serie B,2425,Reggiana,Andrea Meroni,ITA,DF,27.0,1997.0,36,35,3091,34.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Antonio Vergara,ITA,"FW,MF",21.0,2003.0,32,26,2241,24.9,5,5,10,5,0,0,10,0,0.2,0.2,0.4,0.2,0.4
ITA-Serie B,2425,Reggiana,Cedric Gondo,CIV,FW,27.0,1996.0,33,23,1963,21.8,7,1,8,6,1,1,9,0,0.32,0.05,0.37,0.28,0.32
ITA-Serie B,2425,Reggiana,Edoardo Motta,ITA,GK,19.0,2005.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Elvis Kabashi,ALB,MF,30.0,1994.0,16,8,678,7.5,0,2,2,0,0,0,4,0,0.0,0.27,0.27,0.0,0.27
ITA-Serie B,2425,Reggiana,Francesco Bardi,ITA,GK,32.0,1992.0,36,36,3240,36.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Giacomo Cavallini,ITA,MF,19.0,2004.0,3,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Joaquin Sosa,URU,DF,22.0,2002.0,8,4,392,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Justin Kumi,ITA,MF,20.0,2004.0,8,1,149,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Leo Štulac,SVN,MF,29.0,1994.0,11,5,437,4.9,0,1,1,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21
ITA-Serie B,2425,Reggiana,Lorenzo Ignacchiti,ITA,MF,20.0,2004.0,32,25,2260,25.1,0,1,1,0,0,0,9,1,0.0,0.04,0.04,0.0,0.04
ITA-Serie B,2425,Reggiana,Lorenzo Libutti,ITA,DF,26.0,1997.0,30,28,2424,26.9,0,1,1,0,0,0,4,0,0.0,0.04,0.04,0.0,0.04
ITA-Serie B,2425,Reggiana,Lorenzo Lucchesi,ITA,DF,21.0,2003.0,27,26,2252,25.0,2,0,2,2,0,0,3,1,0.08,0.0,0.08,0.08,0.08
ITA-Serie B,2425,Reggiana,Luca Cigarini,ITA,MF,38.0,1986.0,9,0,128,1.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Luca Vido,ITA,"FW,MF",27.0,1997.0,28,9,1002,11.1,6,1,7,5,1,1,4,0,0.54,0.09,0.63,0.45,0.54
ITA-Serie B,2425,Reggiana,Manolo Portanova,ITA,"MF,FW",24.0,2000.0,36,31,2503,27.8,8,2,10,8,0,0,4,0,0.29,0.07,0.36,0.29,0.36
ITA-Serie B,2425,Reggiana,Manuel Marras,ITA,"MF,FW",31.0,1993.0,28,19,1715,19.1,0,1,1,0,0,0,8,1,0.0,0.05,0.05,0.0,0.05
ITA-Serie B,2425,Reggiana,Mario Sampirisi,ITA,DF,31.0,1992.0,20,18,1552,17.2,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Matteo Maggio,ITA,MF,22.0,2002.0,20,4,604,6.7,2,1,3,2,0,0,4,0,0.3,0.15,0.45,0.3,0.45
ITA-Serie B,2425,Reggiana,Mattia Destro,ITA,FW,33.0,1991.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Natan Girma,SUI,"FW,MF",22.0,2001.0,24,10,1014,11.3,5,2,7,5,0,0,6,0,0.44,0.18,0.62,0.44,0.62
ITA-Serie B,2425,Reggiana,Oliver Urso,DEN,MF,25.0,1999.0,6,0,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Orji Okwonkwo,NGA,FW,26.0,1998.0,10,3,348,3.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Paolo Rozzio,ITA,DF,32.0,1992.0,16,14,1218,13.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Reggiana,Riccardo Fiamozzi,ITA,"DF,MF",31.0,1993.0,24,17,1507,16.7,0,2,2,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12
ITA-Serie B,2425,Reggiana,Stefano Pettinari,ITA,FW,32.0,1992.0,12,5,531,5.9,1,0,1,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17
ITA-Serie B,2425,Reggiana,Tobías Reinhart,ARG,MF,24.0,2000.0,31,27,2235,24.8,1,2,3,1,0,0,7,0,0.04,0.08,0.12,0.04,0.12
ITA-Serie B,2425,Reggiana,Yannis Nahounou,FRA,DF,20.0,2004.0,5,0,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Ajdin Hrustic,AUS,"MF,FW",28.0,1996.0,21,7,896,10.0,1,0,1,1,0,0,6,0,0.1,0.0,0.1,0.1,0.1
ITA-Serie B,2425,Salernitana,Alberto Cerri,ITA,FW,28.0,1996.0,18,17,1408,15.6,3,0,3,2,1,3,3,0,0.19,0.0,0.19,0.13,0.13
ITA-Serie B,2425,Salernitana,Andres Sfait,ROU,MF,19.0,2004.0,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Andrés Tello,COL,MF,27.0,1996.0,18,10,826,9.2,1,0,1,1,0,0,7,1,0.11,0.0,0.11,0.11,0.11
ITA-Serie B,2425,Salernitana,Antonio Raimondo,ITA,FW,20.0,2004.0,12,6,478,5.3,1,0,1,1,0,0,0,0,0.19,0.0,0.19,0.19,0.19
ITA-Serie B,2425,Salernitana,Daniele Verde,ITA,"FW,MF",28.0,1996.0,35,24,2077,23.1,3,3,6,1,2,2,1,0,0.13,0.13,0.26,0.04,0.17
ITA-Serie B,2425,Salernitana,Davide Gentile,ITA,"MF,DF",20.0,2003.0,9,2,223,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Diego Valencia,CHI,"MF,FW",24.0,2000.0,4,4,248,2.8,1,0,1,1,0,0,0,0,0.36,0.0,0.36,0.36,0.36
ITA-Serie B,2425,Salernitana,Domagoj Bradarić,CRO,DF,24.0,1999.0,2,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Dylan Bronn,TUN,DF,29.0,1995.0,24,22,1916,21.3,0,1,1,0,0,0,5,0,0.0,0.05,0.05,0.0,0.05
ITA-Serie B,2425,Salernitana,Ernesto Torregrossa,VEN,FW,32.0,1992.0,11,1,335,3.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Fabio Ruggeri,ITA,DF,19.0,2004.0,21,17,1538,17.1,0,1,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06
ITA-Serie B,2425,Salernitana,Fabrizio Caligara,ITA,MF,24.0,2000.0,7,4,308,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Federico Zuccon,ITA,MF,21.0,2003.0,11,8,684,7.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Flavius Daniliuc,AUT,DF,23.0,2001.0,3,3,265,2.9,1,0,1,1,0,0,1,0,0.34,0.0,0.34,0.34,0.34
ITA-Serie B,2425,Salernitana,Francesco Corriere,ITA,GK,18.0,2006.0,1,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Franco Tongya,ITA,"MF,FW",22.0,2002.0,28,17,1513,16.8,3,0,3,3,0,0,2,0,0.18,0.0,0.18,0.18,0.18
ITA-Serie B,2425,Salernitana,Gerardo Fusco,ITA,FW,19.0,2005.0,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Gian Marco Ferrari,ITA,DF,32.0,1992.0,34,34,3060,34.0,3,1,4,3,0,0,4,0,0.09,0.03,0.12,0.09,0.12
ITA-Serie B,2425,Salernitana,Giulio Maggiore,ITA,MF,26.0,1998.0,12,8,637,7.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Jayden Braaf,NED,FW,21.0,2002.0,16,6,706,7.8,2,0,2,2,0,0,3,0,0.25,0.0,0.25,0.25,0.25
ITA-Serie B,2425,Salernitana,Jeff Reine-Adélaïde,FRA,MF,26.0,1998.0,13,7,553,6.1,1,0,1,1,0,0,0,0,0.16,0.0,0.16,0.16,0.16
ITA-Serie B,2425,Salernitana,Juan Guasone,ARG,DF,23.0,2001.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Lilian Njoh,CMR,"DF,MF",22.0,2001.0,26,19,1700,18.9,0,1,1,0,0,0,3,1,0.0,0.05,0.05,0.0,0.05
ITA-Serie B,2425,Salernitana,Lorenzo Amatucci,ITA,MF,20.0,2004.0,36,36,3017,33.5,3,1,4,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12
ITA-Serie B,2425,Salernitana,Luigi Sepe,ITA,GK,33.0,1991.0,18,18,1575,17.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Luka Lochoshvili,GEO,DF,26.0,1998.0,18,18,1565,17.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Mamadou Coulibaly,SEN,MF,25.0,1999.0,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Nicola Dalmonte,ITA,FW,26.0,1997.0,4,1,97,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Oliver Christensen,DEN,GK,25.0,1999.0,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Paolo Ghiglione,ITA,MF,27.0,1997.0,25,21,1768,19.6,2,2,4,2,0,0,3,1,0.1,0.1,0.2,0.1,0.2
ITA-Serie B,2425,Salernitana,Paweł Jaroszyński,POL,"DF,MF",29.0,1994.0,12,7,712,7.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Petar Stojanović,SVN,"MF,DF",28.0,1995.0,28,19,1731,19.2,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Roberto Soriano,ITA,MF,33.0,1991.0,31,21,1923,21.4,4,0,4,4,0,0,4,0,0.19,0.0,0.19,0.19,0.19
ITA-Serie B,2425,Salernitana,Rocco Di Vico,ITA,MF,17.0,2007.0,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Simeon Nwankwo,NGA,FW,32.0,1992.0,23,11,1184,13.2,5,2,7,4,1,1,0,0,0.38,0.15,0.53,0.3,0.46
ITA-Serie B,2425,Salernitana,Stefano Girelli,ITA,MF,23.0,2001.0,4,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Szymon Włodarczyk,POL,FW,21.0,2003.0,13,9,621,6.9,1,1,2,1,0,0,2,0,0.14,0.14,0.29,0.14,0.29
ITA-Serie B,2425,Salernitana,Tijs Velthuis,NED,DF,22.0,2002.0,8,6,555,6.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Tommaso Corazza,ITA,MF,20.0,2004.0,13,10,950,10.6,1,4,5,1,0,0,1,0,0.09,0.38,0.47,0.09,0.47
ITA-Serie B,2425,Salernitana,Vincenzo Fiorillo,ITA,GK,34.0,1990.0,5,4,356,4.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Salernitana,Yayah Kallon,SLE,"MF,FW",23.0,2001.0,11,2,295,3.3,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Sampdoria,Alessandro Bellemo,ITA,MF,28.0,1995.0,22,16,1361,15.1,1,1,2,1,0,0,6,0,0.07,0.07,0.13,0.07,0.13
ITA-Serie B,2425,Sampdoria,Alessandro Riccio,ITA,DF,22.0,2002.0,26,24,2191,24.3,1,0,1,1,0,0,8,1,0.04,0.0,0.04,0.04,0.04
ITA-Serie B,2425,Sampdoria,Alessio Cragno,ITA,GK,30.0,1994.0,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Sampdoria,Alex Ferrari,ITA,DF,30.0,1994.0,9,7,674,7.5,0,1,1,0,0,0,4,1,0.0,0.13,0.13,0.0,0.13
ITA-Serie B,2425,Sampdoria,Antonino La Gumina,ITA,FW,28.0,1996.0,9,3,272,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Sampdoria,Antonio Barreca,ITA,MF,29.0,1995.0,5,2,230,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Sampdoria,Bartosz Bereszyński,POL,DF,32.0,1992.0,21,16,1530,17.0,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Sampdoria,Davide Veroli,ITA,DF,21.0,2003.0,14,12,1096,12.2,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16
ITA-Serie B,2425,Sampdoria,Ebenezer Akinsanmiro,NGA,MF,19.0,2004.0,35,14,1530,17.0,1,1,2,1,0,0,4,1,0.06,0.06,0.12,0.06,0.12
ITA-Serie B,2425,Sampdoria,Estanis,ESP,MF,20.0,2003.0,9,2,302,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Sampdoria,Fabio Abiuso,GRE,FW,21.0,2003.0,9,0,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Sampdoria,Fabio Borini,ITA,"FW,MF",33.0,1991.0,11,3,303,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Sampdoria,Fabio Depaoli,ITA,MF,27.0,1997.0,33,24,2062,22.9,4,2,6,4,0,0,10,1,0.17,0.09,0.26,0.17,0.26
ITA-Serie B,2425,Sampdoria,Gennaro Tutino,ITA,"FW,MF",27.0,1996.0,21,20,1713,19.0,5,4,9,4,1,1,4,0,0.26,0.21,0.47,0.21,0.42
ITA-Serie B,2425,Sampdoria,Gerard Yepes,ESP,MF,21.0,2002.0,25,20,1794,19.9,0,1,1,0,0,0,5,0,0.0,0.05,0.05,0.0,0.05
ITA-Serie B,2425,Sampdoria,Giorgio Altare,ITA,DF,25.0,1998.0,14,13,1060,11.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ITA-Serie B,2425,Sampdoria,Giuseppe Sibilli,ITA,"MF,FW",27.0,1996.0,13,12,960,10.7,2,2,4,2,0,0,5,0,0.19,0.19,0.37,0.19,0.37
